Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",23.4,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",23.9,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",23.5,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",23.8,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",23.8,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",24.0,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",23.9,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",23.3,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",22.9,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",23.3,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",22.7,Beef Products,0,Medium
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",22.6,Beef Products,0,Medium
"Hummus, commercial",7.35,Legumes and Legume Products,1,Low
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.35,Dairy and Egg Products,1,Low
"Tomatoes, grape, raw",0.83,Vegetables and Vegetable Products,1,Low
"Beans, snap, green, canned, regular pack, drained solids",1.04,Vegetables and Vegetable Products,1,Low
"Broccoli, raw",2.57,Vegetables and Vegetable Products,1,Low
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,Dairy and Egg Products,1,Low
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,Dairy and Egg Products,1,Low
"Milk, whole, 3.25% milkfat, with added vitamin D",3.28,Dairy and Egg Products,1,Low
"Frankfurter, beef, unheated",11.7,Sausages and Luncheon Meats,1,Low
"Nuts, almonds, dry roasted, with salt added",20.4,Nut and Seed Products,0,Medium
"Cheese, ricotta, whole milk",7.81,Dairy and Egg Products,1,Low
"Kale, raw",2.92,Vegetables and Vegetable Products,1,Low
"Egg, whole, raw, frozen, pasteurized",12.3,Dairy and Egg Products,1,Low
"Egg, white, raw, frozen, pasteurized",10.1,Dairy and Egg Products,1,Low
"Egg, white, dried",79.9,Dairy and Egg Products,2,High
"Sauce, salsa, ready-to-serve",1.44,"Soups, Sauces, and Gravies",1,Low
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3,Sausages and Luncheon Meats,1,Low
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",4.52,Vegetables and Vegetable Products,1,Low
"Pickles, cucumber, dill or kosher dill",0.48,Vegetables and Vegetable Products,1,Low
"Peanut butter, smooth style, with salt",22.5,Legumes and Legume Products,0,Medium
"Cheese, parmesan, grated",29.6,Dairy and Egg Products,0,Medium
"Cheese, pasteurized process, American, vitamin D fortified",18.0,Dairy and Egg Products,0,Medium
"Grapefruit juice, white, canned or bottled, unsweetened",0.55,Fruits and Fruit Juices,1,Low
"Peaches, yellow, raw",0.91,Fruits and Fruit Juices,1,Low
"Seeds, sunflower seed kernels, dry roasted, with salt added",21.0,Nut and Seed Products,0,Medium
"Sausage, Italian, pork, mild, cooked, pan-fried",18.2,Sausages and Luncheon Meats,0,Medium
"Bread, white, commercially prepared",9.43,Baked Products,1,Low
"Sausage, turkey, breakfast links, mild, raw",16.7,Sausages and Luncheon Meats,0,Medium
"Cheese, swiss",27.0,Dairy and Egg Products,0,Medium
"Kale, frozen, cooked, boiled, drained, without salt",2.94,Vegetables and Vegetable Products,1,Low
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",0.81,Vegetables and Vegetable Products,1,Low
"Mustard, prepared, yellow",4.25,Spices and Herbs,1,Low
"Figs, dried, uncooked",3.3,Fruits and Fruit Juices,1,Low
"Kiwifruit, green, raw",1.06,Fruits and Fruit Juices,1,Low
"Melons, cantaloupe, raw",0.82,Fruits and Fruit Juices,1,Low
"Nectarines, raw",1.06,Fruits and Fruit Juices,1,Low
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",0.91,Fruits and Fruit Juices,1,Low
"Strawberries, raw",0.64,Fruits and Fruit Juices,1,Low
"Lettuce, cos or romaine, raw",1.24,Vegetables and Vegetable Products,1,Low
"Cheese, cheddar",23.3,Dairy and Egg Products,0,Medium
"Cheese, cottage, lowfat, 2% milkfat",11.0,Dairy and Egg Products,1,Low
"Cheese, mozzarella, low moisture, part-skim",23.7,Dairy and Egg Products,0,Medium
"Egg, whole, dried",48.1,Dairy and Egg Products,0,Medium
